2021-12-01 10:27:57,725 [main] INFO  edu.csf.oop.java.supermarket.Game - Application started
2021-12-01 10:28:00,167 [main] INFO  e.c.o.j.s.s.SupermarketState - Changed money from 10000 to 5000
2021-12-01 10:28:00,169 [main] INFO  e.c.o.j.s.s.SupermarketState - Increased capacity by 50
2021-12-01 10:28:00,170 [main] INFO  e.c.o.j.s.s.SupermarketState - Changed money from 5000 to 4000
2021-12-01 10:28:00,171 [main] INFO  e.c.o.j.s.s.SupermarketState - Increased capacity by 10
2021-12-01 10:28:00,173 [main] INFO  e.c.o.j.s.s.SupermarketState - Changed money from 4000 to 3600
2021-12-01 10:28:00,174 [main] INFO  e.c.o.j.s.supermarket.ListOfGoods - Add product, type - MILK, quantity - 40, price - 12
2021-12-01 10:28:00,176 [main] INFO  e.c.o.j.s.s.SupermarketState - Changed money from 3600 to 2800
2021-12-01 10:28:00,176 [main] INFO  e.c.o.j.s.supermarket.ListOfGoods - Add product, type - MEAT, quantity - 40, price - 25
2021-12-01 10:28:00,178 [main] INFO  e.c.o.j.s.s.SupermarketState - Changed money from 2800 to 1600
2021-12-01 10:28:00,178 [main] INFO  e.c.o.j.s.supermarket.ListOfGoods - Add product, type - FRUIT, quantity - 40, price - 37
2021-12-01 10:28:00,180 [main] INFO  e.c.o.j.s.s.SupermarketState - Changed money from 1600 to 0
2021-12-01 10:28:00,180 [main] INFO  e.c.o.j.s.supermarket.ListOfGoods - Add product, type - ALCOHOL, quantity - 40, price - 50
2021-12-01 10:28:00,186 [main] INFO  e.c.o.j.s.s.SupermarketState - Changed quantity in shopping room from 0 to 20
2021-12-01 10:28:00,186 [main] INFO  e.c.o.j.s.services.GameServices - Moved to the shopping room 20 units of the product on position 0
2021-12-01 10:28:00,190 [main] INFO  e.c.o.j.s.s.SupermarketState - Changed quantity in shopping room from 20 to 40
2021-12-01 10:28:00,191 [main] INFO  e.c.o.j.s.services.GameServices - Moved to the shopping room 20 units of the product on position 1
2021-12-01 10:28:00,195 [main] INFO  e.c.o.j.s.s.SupermarketState - Changed quantity in shopping room from 40 to 60
2021-12-01 10:28:00,195 [main] INFO  e.c.o.j.s.services.GameServices - Moved to the shopping room 20 units of the product on position 2
2021-12-01 10:28:00,200 [main] INFO  e.c.o.j.s.s.SupermarketState - Changed quantity in shopping room from 60 to 80
2021-12-01 10:28:00,200 [main] INFO  e.c.o.j.s.services.GameServices - Moved to the shopping room 20 units of the product on position 3
2021-12-01 10:28:00,203 [main] INFO  e.c.o.j.s.supermarket.ListOfGoods - Customer came with 177 money
2021-12-01 10:28:00,203 [main] INFO  e.c.o.j.s.supermarket.ListOfGoods - Purchased a product, type - FRUIT, quantity - 2, price - 37
2021-12-01 10:28:00,204 [main] INFO  e.c.o.j.s.supermarket.ListOfGoods - Purchased a product, type - ALCOHOL, quantity - 2, price - 50
2021-12-01 10:28:00,204 [main] INFO  e.c.o.j.s.supermarket.ListOfGoods - Purchased a product, type - MEAT, quantity - 0, price - 25
2021-12-01 10:28:00,204 [main] INFO  e.c.o.j.s.supermarket.ListOfGoods - Purchased a product, type - MILK, quantity - 0, price - 12
2021-12-01 10:28:00,204 [main] INFO  e.c.o.j.s.s.SupermarketState - Changed money from 0 to 174
2021-12-01 10:28:00,204 [main] INFO  e.c.o.j.s.s.SupermarketState - Changed quantity in shopping room from 80 to 78
2021-12-01 10:28:00,204 [main] INFO  e.c.o.j.s.s.SupermarketState - Changed quantity in shopping room from 78 to 76
2021-12-01 10:28:00,204 [main] INFO  e.c.o.j.s.supermarket.ListOfGoods - Customer came with 181 money
2021-12-01 10:28:00,204 [main] INFO  e.c.o.j.s.supermarket.ListOfGoods - Purchased a product, type - MEAT, quantity - 3, price - 25
2021-12-01 10:28:00,204 [main] INFO  e.c.o.j.s.supermarket.ListOfGoods - Purchased a product, type - FRUIT, quantity - 0, price - 37
2021-12-01 10:28:00,204 [main] INFO  e.c.o.j.s.supermarket.ListOfGoods - Purchased a product, type - MILK, quantity - 1, price - 12
2021-12-01 10:28:00,204 [main] INFO  e.c.o.j.s.s.SupermarketState - Changed money from 174 to 261
2021-12-01 10:28:00,204 [main] INFO  e.c.o.j.s.s.SupermarketState - Changed quantity in shopping room from 76 to 75
2021-12-01 10:28:00,204 [main] INFO  e.c.o.j.s.s.SupermarketState - Changed quantity in shopping room from 75 to 72
2021-12-01 10:28:00,205 [main] INFO  e.c.o.j.s.supermarket.ListOfGoods - Customer came with 65 money
2021-12-01 10:28:00,205 [main] INFO  e.c.o.j.s.supermarket.ListOfGoods - Purchased a product, type - ALCOHOL, quantity - 1, price - 50
2021-12-01 10:28:00,205 [main] INFO  e.c.o.j.s.supermarket.ListOfGoods - Purchased a product, type - MEAT, quantity - 0, price - 25
2021-12-01 10:28:00,205 [main] INFO  e.c.o.j.s.supermarket.ListOfGoods - Purchased a product, type - MILK, quantity - 1, price - 12
2021-12-01 10:28:00,205 [main] INFO  e.c.o.j.s.supermarket.ListOfGoods - Purchased a product, type - FRUIT, quantity - 0, price - 37
2021-12-01 10:28:00,205 [main] INFO  e.c.o.j.s.s.SupermarketState - Changed money from 261 to 323
2021-12-01 10:28:00,205 [main] INFO  e.c.o.j.s.s.SupermarketState - Changed quantity in shopping room from 72 to 71
2021-12-01 10:28:00,205 [main] INFO  e.c.o.j.s.s.SupermarketState - Changed quantity in shopping room from 71 to 70
2021-12-01 10:28:00,205 [main] INFO  e.c.o.j.s.supermarket.ListOfGoods - Customer came with 145 money
2021-12-01 10:28:00,205 [main] INFO  e.c.o.j.s.supermarket.ListOfGoods - Purchased a product, type - FRUIT, quantity - 1, price - 37
2021-12-01 10:28:00,205 [main] INFO  e.c.o.j.s.supermarket.ListOfGoods - Purchased a product, type - MEAT, quantity - 2, price - 25
2021-12-01 10:28:00,205 [main] INFO  e.c.o.j.s.supermarket.ListOfGoods - Purchased a product, type - ALCOHOL, quantity - 1, price - 50
2021-12-01 10:28:00,205 [main] INFO  e.c.o.j.s.supermarket.ListOfGoods - Purchased a product, type - MILK, quantity - 0, price - 12
2021-12-01 10:28:00,206 [main] INFO  e.c.o.j.s.s.SupermarketState - Changed money from 323 to 460
2021-12-01 10:28:00,206 [main] INFO  e.c.o.j.s.s.SupermarketState - Changed quantity in shopping room from 70 to 68
2021-12-01 10:28:00,206 [main] INFO  e.c.o.j.s.s.SupermarketState - Changed quantity in shopping room from 68 to 67
2021-12-01 10:28:00,206 [main] INFO  e.c.o.j.s.s.SupermarketState - Changed quantity in shopping room from 67 to 66
2021-12-01 10:28:00,206 [main] INFO  e.c.o.j.s.supermarket.ListOfGoods - Customer came with 268 money
